"source_affected","state","years","sample","issue","evidence","action","status","rows_affected","where_fixed","date"
"MEDSL","TX","2016","HE","Source coverage only 97.2%","Harris County +0.9pp vs the more complete OpenElections build","Not overridden","flagged","not quantified","n/a","2026-09 (approx)"
"MEDSL","IN","2018;2020;2022","HE","Only 55%, 58% and 41% of Indiana counties present","Coverage tracker: 0.554 / 0.576 / 0.413","Not investigated yet","flagged","not quantified","n/a","2026-09-20"
"MEDSL","all","2016;2018;2020;2022;2024","HE;SE","Non-candidate rows (UNDERVOTES, OVERVOTES, BLANKS, VOIDS, CONTEST TOTAL, TOTAL VOTES CAST, CAST VOTES, BALLOTS CAST) were counted in totalvote by 01a, inflating totals and diluting every share (repuvote = R / total). (This was the 2018 'blank ballots' suspicion.)","49 state-years had >0.5% of votes in such rows (up to ~50% in some 2024 states). After exclusion, MEDSL House/Senate totals are 0.97-0.99 of the presidential total in the median (2020 and 2024 95th percentile 1.00)","Exclusion implemented in 01a (exclude_pseudo, default on) and applied to ALL MEDSL-sourced House/Senate rows (decision 2026-09-20); MEDSL source files refreshed","fixed","3,081 rows changed in 99 state-years (worst: IN 2018 mean |R share| change 0.34, MI 2022 0.13, VT 2024 0.18)","R/data_creation/01a_election_data_medsl.R; 01ce_medsl_pseudo_special_apply.R; R/output/medsl_final_changes.csv","2026-09-20"
"MEDSL","ME","2004","PE","Cumberland County 2004 presidential total is 1.15x the House total (statewide House shares match Wikipedia). Fixed: 15 of 16 counties were low, not only Cumberland (Cumberland 135,485 vs 162,962 certified)","Reported by the Maine 1990-2014 build fork","Replaced with the by-county table of Wikipedia's 2004 Maine page (secondary; Maine's own site has no 2004 results); county sums equal the FEC certified Kerry 396,842, Bush 330,201 and total 740,752 exactly. Replace with a primary source when found","fixed","1 county-year","R/data_creation/02ab_president_me_ms_2004.R; R/data_creation/01dl_pe_me_ms_2004_apply.R","2026-09-19"
"MEDSL","ND","2020;2022","HE;SE","Democratic-NPL party mapped to OTHER by MEDSL's party_simplified (same class of bug as Minnesota DFL): demovote = 0 in every county","Raw house_2020.raw: DEMOCRATIC-NPL / OTHER, 97,970 votes; ND Senate 2022 has the same string. (ND House 2022 is different: no Democrat ran, the challenger was an independent)","Substring fallback on party_detailed added to 01a (party_fallback); recomputed from raw and patched into the panel","fixed","53 HE (2020) + 53 SE (2022)","R/data_creation/01a_election_data_medsl.R; 01ca_medsl_fixes_apply.R","2026-09-20"
"MEDSL","NJ","2024","HE;SE","Blank and NONPARTISAN party labels swamp the D/R classification, and pseudo-rows (CONTEST TOTAL, TOTAL VOTES CAST, UNDERVOTES...) inflate totals up to 3x; several whole districts have no labelled row at all","Raw house_2024.raw NJ: 2,107,698 votes with blank party, 504,619 NONPARTISAN; panel mean demovote 0.22, repuvote 0.23 and Camden total 741,611 vs 237,171 after the fix. After the fix statewide weighted House shares D 0.528 / R 0.449 (certified ~0.53 / 0.44)","Fixed in 01a: pseudo-row exclusion, copy party from the same candidate's labelled rows, candidate->party overrides from Wikipedia nominees for wholly blank districts (candidate_party_overrides.csv), candidate-level party; patched into the panel","fixed","12 HE + 9 SE rows changed (other counties were already fine)","R/data_creation/01a_election_data_medsl.R; 01cb_candidate_party_overrides.R; 01ca_medsl_fixes_apply.R","2026-09-20"
"MEDSL","OR","2024","HE","Blank party labels, fusion strings ('DEMOCRAT / INDEPENDENT', 'DEMOCRAT / PROGRESSIVE') classified as OTHER, pseudo-rows in totals, and misaligned labels in Harney County (Dan Ruby labelled LIBERTARIAN, Michael Stettler labelled DEMOCRAT)","Raw house_2024.raw OR: 976,021 votes with blank party; panel mean demovote 0.25, repuvote 0.46; Harney demovote 0.043 (true ~0.15). After the fix weighted D 0.534 / R 0.423, Harney D 0.153","Fixed in 01a (party_fallback, fill_blank_party, exclude_pseudo, candidate_level_party) and patched into the panel","fixed","30 HE rows changed","R/data_creation/01a_election_data_medsl.R; 01ca_medsl_fixes_apply.R","2026-09-20"
"MEDSL","VT","2016","HE","NOT AN ERROR (entry corrected 2026-09-20; an earlier version wrongly called the labels mislabeled). Peter Welch won the Republican write-in primary as well, so he really was the Democratic AND Republican nominee (89.53%); Erica Clawson was the Liberty Union candidate (9.96%). No separate Republican was on the ballot","Wikipedia 2016 US House election in Vermont: Welch 89.53% (alliance with Republican Party), Clawson 9.96%. MEDSL raw and the panel (demovote ~0.886, repuvote 0) are correct","None needed. The one_party flag (no_rep, 14 counties) is a genuine one-party race","not_an_error","0","n/a","2026-09-20"
"MEDSL","GA","2016","HE","Candidates with a blank party (unopposed races) fall into OTHER, so neither major-party share exists","one_party flag: 14 counties neither_major_party; raw house_2016 GA has 208,927 votes with blank party","Not fixed (same known quirk as Kentucky 2016)","flagged","14 counties","n/a","2026-09-20"
"MEDSL","MN","2020","SE","Senate 2020 rows still carried the DFL zero-Democrat bug: the earlier Minnesota patch replaced House 2016/2020/2022 but never the Senate","Found by the 01ca validation gate: legacy (DFL-aware) re-computation disagreed with the panel in exactly these 87 rows; panel demovote 0, true mean 0.369","Replaced with recomputed values","fixed","87 (all MN counties)","R/data_creation/01ca_medsl_fixes_apply.R","2026-09-20"
"MEDSL","NY;VT","2024","HE;SE","Fusion strings 'REPUBLICAN/CONSERVATIVE' (NY) and 'REPUBLICAN/LIBERTARIAN' (VT) mapped to OTHER, so some counties had repuvote 0","Audit of every 2018-2024 House/Senate row: exactly 7 detailed-party strings contain DEMOCRAT/REPUBLIC but are not simplified to D/R (MN DFL, ND DEMOCRATIC-NPL, VT REPUBLICAN/LIBERTARIAN, NY REPUBLICAN/CONSERVATIVE, OR DEMOCRAT / INDEPENDENT, OR DEMOCRAT / PROGRESSIVE)","Substring fallback in 01a; NY rows patched into the panel, VT 2024 House rows restored with the fix","fixed","NY 2 HE + 2 SE; VT 14 HE (restored)","R/data_creation/01a_election_data_medsl.R; 01ca_medsl_fixes_apply.R","2026-09-20"
"MEDSL","NJ","2024","HE","Bergen County (34003) total is 1.86x its presidential total (853,419 vs 459,077); the fix did not change it, so the raw rows look duplicated. Shares look plausible (D 0.549 / R 0.427)","House/presidential ratio 1.86 vs 0.71-1.0 elsewhere in NJ","Not fixed","flagged","1 county-year (totalvote only)","n/a","2026-09-20"
"panel (fold-in)","WI;WV;AR;WA;WY;VT","2016-2024","HE","House rows for whole states were missing from the panel although present in elect_he_cty_medsl.rds: an earlier fold-in removed each state's House rows and re-added only its own years","Found while validating the 01ca re-computation: 1,258 MEDSL keys absent from the panel (WI 360, WV 275, AR 250, WA 195, WY 115, VT 2018-2024 56). The coverage tracker reads source files and the provenance check only looked at existing rows, so neither could see it","Restored from the MEDSL source (with party fixes). Completeness check added to build_provenance.R","fixed","1,251 rows restored (7 non-finite skipped)","R/data_creation/01ca_medsl_fixes_apply.R; R/build_provenance.R","2026-09-20"
"panel (fold-in)","AR;TX;VA","2002-2016","HE","State-build House rows absent from the panel: Arkansas 2002/2008/2010/2012/2014, Texas 2016 (7 counties MEDSL lacks), Virginia 2016 (1 county)","build_provenance.R completeness check: source keys with no panel row","Restored from the per-state source files (only keys with no panel row were added)","fixed","238 (AR 230, TX 7, VA 1)","R/data_creation/01cc_restore_missing_panel_rows.R","2026-09-20"
"panel (fold-in)","IN","2018","SE","41 Indiana counties for the 2018 Senate exist in elect_se_cty_historical.rds but not in the panel (MEDSL Indiana 2018 covers only ~55% of counties)","build_provenance.R completeness check (source=se_cty_historical, state 18, year 2018)","Not restored: the historical file's origin for 2018 needs checking first; could help the Indiana 2018 gap","flagged","41","n/a","2026-09-20"
"MEDSL","AZ;CA;GA;MN;MS;NE;OK;WI;MD;MI;TX;NY;IN;KY","2016-2024","HE;SE","Special-election races (MEDSL `special` flag) were summed with the regular race in the county rows, so state-years with two races on one ballot had doubled totals and blended shares (Senate: AZ 2020, CA 2024, GA 2020, MN 2018, MS 2018, NE 2024, OK 2022, each ~50% of votes; House: WI-8 2024, MD-7 2020, MI-13 2018, TX-18 2024, NY-25 2018, IN-2 2022, KY-1 2016)","Raw files: special-flagged votes ~0.50 of all votes in those Senate state-years; regular + special were summed by 01a. v1 scope = regular general elections only (decision 2026-09-20)","exclude_special added to 01a (default on) and applied to all MEDSL-sourced House/Senate rows. Arizona's 2020 Senate race was a special election only, so its 15 county rows were REMOVED (gap reason: special election only)","fixed","special races removed from the affected state-years; 15 AZ Senate 2020 rows removed","R/data_creation/01a_election_data_medsl.R; 01ce_medsl_pseudo_special_apply.R; R/output/medsl_final_removed_rows.csv","2026-09-20"
"MEDSL","AL;SC;AR;IN;KY;DC","2016","HE;SE","Rows belonging to OTHER offices were counted as House/Senate votes: STRAIGHT PARTY / STRAIGHT TICKET lines (AL 1.16M votes, SC 1.07M, IN 213K, KY 36K), Arkansas 'UNOPPOSED CANDIDATES' ballot rows (candidate 'FOR'), and DC delegate/shadow offices. This was the cause of the 1.45-1.67x totals (and a candidate called 'For' with 428,423 votes)","The 2016 MEDSL files carry an `office` column that 01a never filtered on; 31 state-file-years had such rows (23.6M votes in all, mostly DC delegate and special-election rows)","Added exclude_other_offices to 01a (keeps only US House / US Senate rows) and applied it to all MEDSL-sourced rows; HE 2016 total/presidential 95th percentile fell from 1.40 to 1.00, SE 2016 from 1.47 to 1.01","fixed","362 rows changed in 13 state-years; 4 rows removed (DC, one IN county); shares of the affected AL/SC/AR/IN counties also change","R/data_creation/01a_election_data_medsl.R; 01cg_medsl_office_filter_apply.R; R/output/medsl_office_filter_changes.csv","2026-09-20"
"MEDSL","ME;NY;IL;UT;+","2016-2024","HE;SE","More non-candidate rows were counted as votes: Maine 2024 'Total Ballots Cast' (835,904 votes, the cause of Maine's exactly doubled totals), New York 'Affidavit', 'Absentee / Military' and 'Over', plus 'Blank Ballots', 'Blank/void', 'Undervotes-Voids', 'Federal (Ballots)', 'Not Qualified', 'Special Votes', 'Contest Totals', 'Spoiled', 'Invalid' ...","Scan of MEDSL candidate strings by vote volume; Maine 2024 House/presidential ratio was 2.00 in all 16 counties and is now ~0.97","Extended the pseudo-row pattern in 01a (PSEUDO_RE) and applied it to all MEDSL-sourced rows with the gated script 01ch_medsl_pseudo_v2_apply.R. Write-ins and 'scattering' are real votes and stay","fixed","315 rows changed in 30 state-years (Maine 2024: 16 HE + 16 SE, totals halved)","R/data_creation/01a_election_data_medsl.R; 01ch_medsl_pseudo_v2_apply.R","2026-09-20"
"OpenElections","NY","2004","HE","Kings County (36047): Edolphus Towns was labelled 'REP DEM WOR', so his 147,212 votes counted in BOTH the Democratic and the Republican numerator (repuvote 0.297 in Brooklyn)","Found by the long-table acceptance test (Northeast fork): shares derived from the candidate-level table gave repuvote 0.0852 while demovote and totalvote agreed","Candidate on both major-party lines now counted as Democratic only (01o rule and the shares file / panel row corrected); no other NY key was affected","fixed","1 county-year","R/data_creation/01o_house_county_new_york.R; elect_he_cty_ny.rds; panel","2026-09-20"
"OpenElections","CA","2000","HE","Congressional District 16 (Santa Clara) was mis-parsed by 01bd: it took the wrong header row, read only 2 of 4 vote columns and attached the wrong party text, so Lofgren's 115,118 votes counted as neither party and 7,415 votes were missing","Found by the long-table acceptance test (West fork). CA 2000 statement of vote: Lofgren DEM 115,118, Thayn REP 37,213, Umphress LIB 4,742, Klein NL 2,673. Santa Clara 2000 House/presidential total ratio after the fix 0.956","Corrected the long table, shares file and panel (Santa Clara 2000: Democratic share 0.427 -> 0.641, total 516,500 -> 523,915) with 02zz_fix_ca2000_d16.R, a post-step to re-run after 01bd","fixed","1 county-year (Santa Clara 2000)","R/data_creation/02zz_fix_ca2000_d16.R","2026-09-20"
"MEDSL","MO;ME;NY","2016;2020","HE","Non-county buckets: MEDSL assigns Missouri's Kansas City votes to a made-up FIPS 29380 (127,894 votes in 2016) instead of Jackson, Clay and Platte counties, so those three counties are UNDERCOUNTED in 2016; also Maine 23000 (2020) and 23099 (2016) federal/UOCAVA buckets and New York 36122 (9,540 votes, 2016)","House long table contains county FIPS 29380, 23099, 23000, 36122 that are not in the county crosswalk","Excluded from the release files (cannot be mapped to counties). Apportioning Kansas City's votes to its counties is not done","flagged","144,143 votes in 4 non-county buckets; Jackson, Clay and Platte MO 2016 undercounted","R/data_creation/03a_house_release.R","2026-09-20"
"various","CA;AZ;KY;ME;NH;OK;AL;TX;NY;MD;+","1990-2024","HE","Candidate names were missing or incomplete in many sources: generic placeholders ('Democratic Candidate', 'Other Candidate 2' in the CA 1990-96 and AZ 1994 transcriptions) and surname-only names (Texas and New York MEDSL, Oklahoma PDFs, Alabama historical, Maine/NH historical, AZ 1996, KY 2010, ...). 7,635 long rows (1,448 candidates) were flagged","Full names taken from Wikipedia district results and matched to our rows by exact district vote total, by surname (unique) or by vote share; every rename is unique and recorded with its method and evidence in R/data/raw_election/candidate_name_overrides.csv (1,185 renames: 723 vote_total, ~350 surname, 72 pooled_minor_sum, 31 party_D_R, 12 vote_share). Only names changed: total votes and the master check are unchanged","Applied in the assembler (02z); the matcher (03b) is idempotent and reads the pre-override table. Candidates with >=1% of their district: 99.2% now named","fixed","1,185 renames; flagged long rows 7,635 -> 950","R/data_creation/03b_candidate_names_wikipedia.R; 02z_house_long_assemble.R","2026-09-20"
"various","UT;FL;ID;TX","2012-2024","HE","63 candidates (8 with >=1% of their district vote, 3 with >=5%) still have a surname-only or placeholder name: Florida 2012 'Voteforeddie.Com', Idaho 'Pro-Life' lines, small Texas minor-party candidates","R/output/candidate_name_matching_report.csv","Not resolved; need candidate lists from the state election offices","flagged","63 candidates (228 long rows)","n/a","2026-09-20"
"OpenElections","CA","1992;1996","HE","Hand-transcription errors in our California PDF data, found by comparing district totals with Wikipedia and confirmed against the official Statement of Vote: 1992 CD-27 Kahn (LA County) 63,805 vs printed 83,805; 1992 CD-14 Huening (San Mateo) 36,693 vs 38,693; 1996 CD-24 Sybert (LA) 85,054 vs 65,054; CD-33 Leonard 6,147 vs 8,147; CD-18 Condit and Stanislaus; CD-41 Kim (San Bernardino) 1,000 too high; CD-2 Herger 4,000 too high","Official PDFs: text layer for 1992 (pdftotext), rendered page images for the scanned 1996 book. Wikipedia had its own typos in 8 other district totals (1992 CA-3, 1994 CA-14/35/17, 1998 CA-38/22), where our data was right","Corrected the transcription CSVs at their source (ca_manual_transcription/1992_raw.csv, 1996_raw.csv); every corrected district ties to its printed totals","fixed","12 county-years (2 in 1992, 10 in 1996)","R/data/county_house_files/ca_manual_transcription; R/output/ca_fixes_for_panel.rds","2026-09-20"
"OpenElections","CA","1998;2000","HE","01bd matched party codes by prefix, so Reform (Rfm) columns were counted as REPUBLICAN: e.g. 1998 CA-21 stored Thomas 115,989 plus Evans (Rfm) 30,994 as one Republican total of 146,983. 5 districts in 1998 and 7 in 2000 (CD 1, 17, 22, 23, 36, 44, 48) affected","Wikipedia and the printed District Totals (1998: Thomas 115,989; Ball 103,299; Kuykendall 88,843; Cox 132,711)","Rebuilt CA 1998 and 2000 from the PDF district blocks with exact party codes; all 104 district-years tie to the printed District Totals; total votes unchanged, 54 county-district-party cells move from REP to OTHER","fixed","25 county-years (8 in 1998, 17 in 2000); Republican share up to 0.18 lower","R/data_creation/02c_california_1998_2000_rebuild.R (supersedes 01bd and 02zz_fix_ca2000_d16.R)","2026-09-20"
"Arkansas SoS","AR","1990-2006","HE","Arkansas had almost no House county data before this (74 partial OpenElections counties for 2002). Built from the official election books: 1990 and 2006 (scanned images, read by hand), 1992-1998 (state spreadsheets), 2000 (text), 2002 (certification PDF)","County sums equal the printed statewide/district totals exactly in every year (1990, 2006: all 4 districts tie on dem, rep, total and county count; 1992-2002: every candidate ties)","Added to the panel with 01ci_arkansas_apply.R (gated, backed up); 2002 replaces the 74 OpenElections rows (identical values in the 74 shared counties)","fixed","558 county-years added or replaced (1990 75, 1992 75, 1994 75, 1996 75, 1998 50, 2000 59, 2002 74, 2006 75)","R/data_creation/02r_house_ar_*.R; 01ci_arkansas_apply.R","2026-09-20"
"Arkansas SoS","AR","1998;2000;2002","HE","Unopposed seats have no county tallies: 1998 AR-1 (Berry) and 2000 AR-3 (Hutchinson) are not in the state files; 2002 AR-3 (Boozman vs a write-in) has partial tallies: Boone County prints 0 votes for both candidates and Marion County prints Boozman 2,684 (0.45 of the 2000 presidential total, others 0.56-0.72)","House vs presidential totals; the 1998 AR-1 tallies in the county sheets exist in only 12 of 25 counties and look partial (0.05-0.72 of the Senate total), saved to R/output/ar_1998_district1_unopposed_tallies.csv for reference","Left as gaps (1998: 25 counties, 2000: 16 counties, 2002: Boone). 2002 Marion kept as printed and should be treated as a low count","flagged","41 county-years missing; 1 low county-year (Marion 2002)","R/data_creation/02r_house_ar_1992_1998.R; 02r_house_ar_2000.R; 02r_house_ar_2002.R","2026-09-20"
"Arkansas SoS","AR","1992;1994","HE","Small disagreements inside the state files: 1992 Polk County J. Van Winkle 3,761 on the statewide sheet vs 3,432 on the county sheet; 1992 Cleburne 6,989/2,938 vs 6,990/2,943; 1994 Union County uses the 'AS PER UNION CTY ELEC. COMM.' column (5,185/8,117) rather than the TOTALS column (5,251/8,274)","Statewide sheet totals are the printed totals that every county sum ties to","Kept the statewide-sheet figures; difference is 329 votes in Polk 1992 (Polk House total 7,168 vs presidential 7,217, so the statewide figure looks right)","flagged","3 county-years","R/data_creation/02r_house_ar_1992_1998.R","2026-09-20"
"Texas SoS","TX","1992-1998;2006","HE","Texas had no House county data before 2000 (and 49 counties missing in 2006). Built from the official Secretary of State 'Historical Elections - Official Results' pages (elections.sos.state.tx.us): 1992, 1994, 1996, 1998 (all 254 counties each) and the 2006 districts (15, 21, 23, 25, 28) that voted in the November 2006 special-election ballot with a December runoff for 23","Every county row: candidate cells add up to the printed Votes cell (454 race pages); county sums equal the printed ALL COUNTIES row for all 350 pages that print one; 2000-2004 and 2008-2012 rebuilt from these pages are identical to the panel's existing Texas rows","Added to the panel with 01ck_texas_apply.R (gated, backed up). 1996 districts 3,5,6,7,8,9,18,22,24,25,26,29,30 are from the Nov 5 1996 special election ballot (redrawn districts, Bush v. Vera); 8, 9, 25 use the December runoff (stage 'runoff', decisive-round rule); 2006 D23 uses the December runoff. 2006 D22 'Unexpired Term' special ignored. A county that lies partly in an unopposed district has no votes for that district (no ballot line)","fixed","1,065 county-years added (254 each in 1992-1998, 49 in 2006)","R/data_creation/01cj_texas_sos_download.R; 02r_house_tx_sos.R; 01ck_texas_apply.R","2026-09-20"
"OpenElections","TX","2014","HE","El Paso (48141) and Ellis (48139) County results were swapped: the panel had El Paso 31,786 total votes and Ellis 80,029","Texas SoS official results (El Paso 80,029, Ellis 31,786; El Paso is the far larger county)","Replaced with the SOS values","fixed","2 county-years","R/data_creation/01ck_texas_apply.R","2026-09-20"
"MEDSL","TX","2016;2018","HE","MEDSL precinct-based county totals differ from the official Texas canvass: 2016 Harris County 1,246,869 vs official 1,269,535 (22,666 votes short), Leon 3,840 vs 6,853, Crockett 960 vs 577 and 42 smaller differences; 2018 43 counties differ by up to 1.9% (0.35 pt in Democratic share)","Texas SoS official results","Replaced with the SOS values (identical rows unchanged)","fixed","88 county-years (45 in 2016, 43 in 2018)","R/data_creation/01ck_texas_apply.R","2026-09-20"
"Virginia DoE","VA","1990-2004","HE","Virginia had no House county data before 2006. Built from the Virginia Department of Elections Historical Elections Database (historical.elections.virginia.gov): one Results CSV per congressional district with a row per county / independent city (and precincts), November general elections 1990-2024","For 194 of 197 district contests the locality rows add up exactly to the printed district total for every candidate; 196 of 197 locality rows add up to their own Total Votes Cast (exceptions below); 2024 and 2016-2022 rebuilt from the site agree with MEDSL in 129-133 of 133 localities","Added for 1990-2004 (1,086 county-years incl. Clifton Forge, South Boston and Bedford cities) and used for every year 2006-2024 (01cm_virginia_apply.R, gated and backed up). Write-Ins is one aggregated candidate. Candidate names are initials-only in the 1990s-2000s ('H. H. Bateman', flag initials_only)","fixed","1,086 county-years added, 242 replaced","R/data_creation/01cl_virginia_download.R; 02r_house_va.R; 01cm_virginia_apply.R","2026-09-20"
"OpenElections","VA","2006-2016","HE","Virginia name collisions between counties and independent cities: Bedford City (51515) 2006-2012 held the Bedford COUNTY numbers (24,491 votes instead of 1,935 in 2006) and there were ghost 51515 rows for 2014 and 2016 (the city ceased to exist in 2013); 2014 had ten split counties (Chesterfield, Henrico, Hanover, ...) with totals 1.5-2x too large and Richmond City 61,482 vs 48,332; Hampton City 2010 37,524 vs 22,682; Amelia 2006 3,143 vs 3,822; about 100 rows with small differences","Virginia Department of Elections official results (locality rows tie to the district totals)","Replaced with the official values; the 2 ghost rows were removed","fixed","242 county-years changed, 2 ghost rows removed (2014 and 2016 Bedford City)","R/data_creation/01cm_virginia_apply.R","2026-09-20"
"Virginia DoE","VA","2018;2022","HE","Source inconsistencies inside the official database: 2022 district 8 Alexandria City: the candidate cells (Beyer 41,041 ...) sum to 53,016 but its own Total Votes Cast is 54,223 (the precinct sums, Beyer 41,974 ..., do add to 54,223); the district row is built from the stale cells. 2018 districts 6 and 11: the district row is 1 vote more than the localities add up to (one write-in vote not assigned to a locality). The database also labels the cities of Richmond and Franklin as 'Richmond County' / 'Franklin County' in most years","Locality rows vs district rows vs precinct sums","Alexandria 2022 uses the precinct sums (matches MEDSL); the 1-vote differences are ignored; Richmond and Franklin labels are resolved by geography (Richmond County lies only in district 1; Franklin County only in district 5/9), and by the printed labels where both the city and the county are listed","fixed","3 contests; Richmond/Franklin rows in about 25 contests","R/data_creation/02r_house_va.R","2026-09-20"
"Kansas SoS","KS","1990-2010","HE","Kansas had no House county data before 2012. Built from the Secretary of State's election-statistics books (scanned, OCR text layer), all 11 elections 1990-2010, 105 counties each (Marion and Douglas split between districts in every year; Geary, Greenwood and Nemaha in 2002-2004; four splits in 2006-2010); 1990 has five districts","County sums equal the printed district Total rows for every candidate and each district total equals the book's 'Total vote for U.S. Representatives' overview page, in every year (exceptions below); House total vs presidential/Senate total per county is 0.56-1.04","Added to the panel with 01cn_kansas_apply.R (gated, backed up), 1,155 county-years. OCR errors (a '%' glyph for a digit, 5 read as 3, 2 read as 3, dropped rows) were found by the tie checks and corrected from the page images: 31 cells in 1990-1996, 10 cells in 1998-2004 (logged in R/output/ks_ocr_corrections_*.csv)","fixed","1,155 county-years added","R/data_creation/02k_house_ks_*.R; 01cn_kansas_apply.R","2026-09-21"
"Kansas SoS","KS","2008;1992","HE","Source inconsistencies in the book: 2008 district 1 (Moran): the county rows add up to 214,278 but the printed Total and the overview page say 214,549 (271 votes short; every county row was re-read against the page image, so the county table itself is short by 271, culprit unknown). 1992 district 1: the printed Total row (94,165 / 37,826 / 3,286) is only the second page's subtotal, so there is no printed district total to tie to (checked instead: second-page rows sum to that subtotal, first-page rows read from the image, House total 0.93-1.00 of each county's presidential total)","Printed totals vs county rows in the books","Values kept as printed; the effect on shares is negligible (2008 D1: up to 271 votes across the district)","flagged","2008 district 1 (25+ counties), 1992 district 1","R/data_creation/02k_house_ks_2006_2010.R; 02k_house_ks_1990_1996.R","2026-09-21"
